Date,Open,High,Low,Close,Adj Close,Volume
2019-09-24,5.840009,5.883531,4.349583,4.642122,4.642122,831306956
2019-09-25,4.647686,4.949381,4.529681,4.836338,4.836338,900076389
2019-09-26,4.836834,4.863482,4.508881,4.708024,4.708024,607503520
2019-09-27,4.708364,4.733093,4.532684,4.702458,4.702458,540705633
2019-09-28,4.700536,4.782269,4.661331,4.685232,4.685232,474231714
2019-09-29,4.684807,4.709515,4.494462,4.577936,4.577936,439473025
2019-09-30,4.578411,4.767360,4.450030,4.709768,4.709768,536326456
2019-10-01,4.712369,4.819887,4.603132,4.639251,4.639251,490706754
2019-10-02,4.636607,4.699685,4.589126,4.696184,4.696184,374779559
2019-10-03,4.696646,4.700195,4.537831,4.621798,4.621798,391705827
2019-10-04,4.621872,4.681396,4.539053,4.615634,4.615634,405656119
2019-10-05,4.612727,4.677854,4.559273,4.615543,4.615543,409673131
2019-10-06,4.616461,4.671225,4.487826,4.545604,4.545604,375661290
2019-10-07,4.542412,4.734026,4.512252,4.694088,4.694088,469114687
2019-10-08,4.693198,4.732280,4.607623,4.648837,4.648837,408171737
2019-10-09,4.646616,5.181000,4.614173,5.073708,5.073708,642659911
2019-10-10,5.073470,5.097627,4.840456,4.849394,4.849394,632364946
2019-10-11,4.843042,4.943748,4.681312,4.682753,4.682753,534869637
2019-10-12,4.680815,4.772583,4.680553,4.726761,4.726761,446424414
2019-10-13,4.725907,4.816730,4.706168,4.761199,4.761199,454486029
2019-10-14,4.758947,4.838410,4.738746,4.804970,4.804970,454214757
2019-10-15,4.803092,4.818485,4.527187,4.569263,4.569263,564318895
2019-10-16,4.563256,4.717546,4.293825,4.454610,4.454610,625342214
2019-10-17,4.453728,4.578355,4.416934,4.513628,4.513628,500500274
2019-10-18,4.513980,4.540847,4.383607,4.435514,4.435514,451869518
2019-10-19,4.435856,4.478504,4.411005,4.445122,4.445122,414370282
2019-10-20,4.447124,4.553778,4.410238,4.517395,4.517395,391423115
2019-10-21,4.514949,4.661896,4.459850,4.601802,4.601802,505011468
2019-10-22,4.602663,4.661054,4.454481,4.476876,4.476876,477586596
2019-10-23,4.476207,4.503156,4.115382,4.258477,4.258477,581417198
2019-10-24,4.259274,4.380920,4.229946,4.304562,4.304562,519242449
2019-10-25,4.302839,4.900612,4.264879,4.751359,4.751359,712500669
2019-10-26,4.752306,5.016193,4.523924,4.578540,4.578540,904622914
2019-10-27,4.580449,4.871961,4.552734,4.797802,4.797802,752486782
2019-10-28,4.799045,4.997984,4.719601,4.765584,4.765584,645944531
2019-10-29,4.761663,5.142827,4.759626,4.934965,4.934965,711859815
2019-10-30,4.933931,4.974577,4.756340,4.817831,4.817831,619239697
2019-10-31,4.818798,4.986749,4.715138,4.839877,4.839877,674303499
2019-11-01,4.840687,4.955397,4.820776,4.885277,4.885277,593824583
2019-11-02,4.884403,5.020165,4.854103,4.942363,4.942363,531399923
2019-11-03,4.944111,5.005127,4.848465,4.900924,4.900924,526681931
2019-11-04,4.901316,4.991931,4.878177,4.974390,4.974390,572024806
2019-11-05,4.974650,5.085029,4.900568,5.034236,5.034236,625522699
2019-11-06,5.037091,5.172424,5.020678,5.085644,5.085644,704728094
2019-11-07,5.082850,5.304974,5.066407,5.260154,5.260154,911678618
2019-11-08,5.259463,5.285664,4.850348,4.993383,4.993383,857629851
2019-11-09,4.991952,5.054887,4.945232,4.959321,4.959321,699334675
2019-11-10,4.959736,5.086069,4.951305,5.052621,5.052621,746139797
2019-11-11,5.054556,5.077393,4.876884,4.900831,4.900831,621011037
2019-11-12,4.903063,4.948858,4.846179,4.905291,4.905291,646259067
2019-11-13,4.903934,4.930757,4.848849,4.862955,4.862955,618297626
2019-11-14,4.863510,4.870589,4.729609,4.782706,4.782706,640805146
2019-11-15,4.785646,4.789505,4.554960,4.565748,4.565748,643961644
2019-11-16,4.566232,4.679168,4.550605,4.666599,4.666599,558701704
2019-11-17,4.667103,4.721558,4.635963,4.650426,4.650426,578014318
2019-11-18,4.649845,4.688179,4.337889,4.439559,4.439559,655761973
2019-11-19,4.438202,4.573451,4.324953,4.424441,4.424441,778985434
2019-11-20,4.424925,4.486754,4.352018,4.369614,4.369614,664823714
2019-11-21,4.369402,4.420322,4.114680,4.181260,4.181260,653833318
2019-11-22,4.182988,4.229264,3.614132,3.893816,3.893816,834882910
2019-11-23,3.894670,4.073493,3.842033,4.047242,4.047242,664470921
2019-11-24,4.048872,4.052820,3.762265,3.762265,3.762265,573155295
2019-11-25,3.764925,3.945605,3.582744,3.790784,3.790784,681165687
2019-11-26,3.795457,3.915096,3.779714,3.898219,3.898219,480595472
2019-11-27,3.889393,4.032537,3.735350,3.960137,3.960137,598461972
2019-11-28,3.961955,4.044784,3.920192,3.954536,3.954536,517442386
2019-11-29,3.956790,4.113354,3.947585,4.096220,4.096220,535165008
2019-11-30,4.096595,4.135910,3.907057,3.959215,3.959215,485334729
2019-12-01,3.953062,4.015967,3.847803,3.942127,3.942127,510987606
2019-12-02,3.941713,3.979446,3.831030,3.868003,3.868003,476342422
2019-12-03,3.864574,3.926325,3.811285,3.847271,3.847271,439965460
2019-12-04,3.845474,3.880023,3.742730,3.781676,3.781676,499945123
2019-12-05,3.780858,3.943453,3.757747,3.814540,3.814540,518444075
2019-12-06,3.815751,3.911584,3.797731,3.894777,3.894777,480712620
2019-12-07,3.895804,3.944086,3.882780,3.891064,3.891064,443951607
2019-12-08,3.890043,3.974308,3.865110,3.923452,3.923452,432413867
2019-12-09,3.922179,3.937660,3.807738,3.817770,3.817770,437567031
